"","age","accuracy_trajectory_adultzscale","accuracy_trajectory_minmaxscale","latency_trajectory_adultzscale","latency_trajectory_minmaxscale"
"40",12,-1.15555937604865,0.552549884776648,0.884098797213225,0.380962499506094
"41",12.1,-1.12353952645625,0.56471429288611,0.851042709398912,0.367991818937084
"42",12.2,-1.09193685124681,0.576720215571321,0.818494163442055,0.355220289681607
"43",12.3,-1.06075970799832,0.58856447777085,0.786457687834402,0.342649688647452
"44",12.4,-1.03001605561179,0.600244055881484,0.754937629289865,0.330281721415689
"45",12.5,-0.999713367780471,0.611756110631465,0.723938161792201,0.31811802579084
"46",12.6,-0.969858625259055,0.623097990017421,0.69346334124915,0.30616019324628
"47",12.7,-0.940458393353628,0.634267199865783,0.663517159978204,0.294409790303591
"48",12.8,-0.911519068878009,0.645261310013545,0.634103603398812,0.28286838077767
"49",12.9,-0.88304662202505,0.656078052371904,0.605226683746907,0.271537539005776
"50",13,-0.855046507586136,0.666715354654156,0.576890474748253,0.260418863452794
"51",13.1,-0.827523661156027,0.677171341817488,0.549099143641537,0.249513989276585
"52",13.2,-0.800482583472321,0.687444304022231,0.521856953725572,0.238824589327469
"53",13.3,-0.77392760035805,0.697532597879133,0.495168213760774,0.228352354294174
"54",13.4,-0.747862598203453,0.707434746940377,0.46903736033893,0.218099025024411
"55",13.5,-0.722290934996827,0.717149475499157,0.443468986565984,0.208066403779548
"56",13.6,-0.697215439381898,0.726675708947782,0.418467840191473,0.198256353500627
"57",13.7,-0.672638498524271,0.736012540397024,0.394038792722651,0.18867078568924
"58",13.8,-0.648562323081963,0.74515913001326,0.370186757859539,0.179311628402746
"59",13.9,-0.624988682911048,0.754114805424449,0.346916732921958,0.170180842509578
"60",14,-0.601918819888494,0.762879094838925,0.324233789869081,0.161280418165457
"61",14.1,-0.579353449569366,0.771451726415814,0.302143037842651,0.152612360115952
"62",14.2,-0.557292850303549,0.779832594409411,0.280649588548277,0.144178674112648
"63",14.3,-0.535737126739573,0.788021659063519,0.259758534182002,0.135981358251894
"64",14.4,-0.51468595253115,0.796019044357778,0.239474864053155,0.128022370258931
"65",14.5,-0.494138487492482,0.803825069480539,0.219803394758227,0.120303600089247
"66",14.6,-0.474093382334681,0.811440247029483,0.200748705191856,0.112826844427918
"67",14.7,-0.454548867047418,0.818865249435251,0.18231513074855,0.105593804414464
"68",14.8,-0.435503005892802,0.826100812088735,0.16450688041662,0.0986061315886306
"69",14.9,-0.416953455611886,0.833147825198928,0.147327773464603,0.091865324570355
"70",15,-0.398897390318355,0.840007362325978,0.130781100513758,0.0853726745468285
"71",15.1,-0.381331510185129,0.846680677081123,0.114869546770839,0.0791292351502688
"72",15.2,-0.364252126694977,0.853169170739805,0.0995952416385473,0.0731358419242633
"73",15.3,-0.347655400151905,0.859474302010597,0.0849600619373765,0.0673932313031799
"74",15.4,-0.331537124130342,0.865597668923408,0.0709651781708643,0.0619018625739
"75",15.5,-0.315892662231109,0.871541032856022,0.0576108560274643,0.0566618399883267
"76",15.6,-0.300716961491561,0.877306313439563,0.0448963874909373,0.051672885732203
"77",15.7,-0.286004631277294,0.88289555858736,0.0328202092023885,0.0469343863684836
"78",15.8,-0.271750152142863,0.888310865148332,0.0213803921047269,0.0424455849659953
"79",15.9,-0.257947698752209,0.893554446179881,0.0105740366839404,0.0382053438017787
"80",16,-0.244591092748393,0.898628648852785,0.000397040864749323,0.0342120532870519
"81",16.1,-0.231673821064511,0.903535947494839,-0.00915594211473558,0.0304636154378992
"82",16.2,-0.219189055157115,0.90827893628404,-0.0180915385924962,0.0269574301851962
"83",16.3,-0.207129716878378,0.912860304223615,-0.0264174604539054,0.0236904715083708
"84",16.4,-0.195488636692481,0.917282775035279,-0.0341418605818505,0.0206595403464742
"85",16.5,-0.184258438111258,0.921549151062377,-0.0412740070780396,0.0178610000445152
"86",16.6,-0.173431514346534,0.925662322139714,-0.0478245063424492,0.0152906888206504
"87",16.7,-0.163000051346499,0.929625256841984,-0.0538052960012184,0.0129439225411652
"88",16.8,-0.152956077993363,0.933440983413577,-0.0592294135402177,0.0108155855049639
"89",16.9,-0.143291569988045,0.937112550302566,-0.0641103253950088,0.0089003936979475
"90",17,-0.133998394364262,0.940643047239924,-0.0684625383769024,0.0071926548791997
"91",17.1,-0.125068307483844,0.944035606001104,-0.0723017717178104,0.00568620107333681
"92",17.2,-0.116492979783277,0.94729339100478,-0.0756449051445763,0.00437440894531059
"93",17.3,-0.108264026613786,0.950419587596631,-0.0785097463387283,0.00325029104548472
"94",17.4,-0.100373051131704,0.953417385755202,-0.0809144460014785,0.00230672532878086
"95",17.5,-0.092811650488667,0.956289977740234,-0.0828779381506335,0.0015362823892077
"96",17.6,-0.0855714338212259,0.959040551258375,-0.0844200289435862,0.000931190607138442
"97",17.7,-0.0786440458348049,0.961672280503581,-0.0855613067175424,0.00048337144808821
"98",17.8,-0.0720211762898876,0.964188322553298,-0.0863229484015171,0.000184515423552811
"99",17.9,-0.0656945417777972,0.966591824291881,-0.086726325371872,2.62367469968121e-05
"100",18,-0.0596559475592201,0.968885898918004,-0.0867931903453847,0
